	RTN2	NDRG2	CCDC113	FAM63A	ACADS	GMDS	HLA-H	SEMA4A
A0FJ	4.362183305	7.533461452	3.956124173	4.457170455	2.256817014	6.01794033	5.006907244	3.217812276
A13E	1.984492314	7.455193756	5.427623064	5.440957359	4.028813283	4.341692279	6.178668457	2.864658523
A0G0	1.727322865	8.079968238	2.227300245	5.543480463	2.629855285	6.363029721	6.039562606	5.946027971
A0SX	4.363995788	5.793750193	3.544865686	4.737114163	4.269100848	4.001104181	7.087632553	5.007565168
A143	2.447561946	7.158993362	4.691256386	4.80872751	2.442134517	7.029723016	5.936138199	5.901458981
A0A7	3.630609285	5.026081446	2.450501696	3.948054656	3.193823639	4.443300584	8.151515249	5.988213118
A094	3.838779042	5.26021473	1.773722176	3.928292744	4.30522063	5.812546457	6.31053213	5.777288213
A12L	2.836670274	3.344883548	5.404861763	5.957079144	3.095218619	5.134322432	5.174764034	4.624701011
A0I9	4.724076077	4.503244424	4.622168647	5.57007472	4.583606201	4.819257835	7.878399796	6.131910792
A0EE	0.696294082	5.820216344	3.117344466	3.998395587	3.078537949	6.771409441	9.013615126	4.082053928
A0XN	3.85490771	4.280309933	3.073337757	4.575126901	2.541062096	3.069358204	6.150228421	5.596022996
A0B0	2.937086569	6.399543939	3.18745066	6.084497438	4.087719508	3.896810877	7.105434282	5.294643859
A18S	4.885974611	5.190614278	5.981201676	6.839738548	3.807708726	4.467859342	5.178436787	6.672838908
A0CS	4.81252119	5.481585851	4.51426708	5.960768682	5.826708051	4.661853235	5.558242705	4.840854551
A0EI	4.145510703	4.209690013	4.871415094	5.562852655	3.213198529	3.977644051	5.568833264	5.467475929
