	hsa-let-7a-1	hsa-let-7a-2	hsa-let-7a-3	hsa-let-7b	hsa-let-7c	hsa-let-7d	hsa-let-7e	hsa-let-7f-1
A0FJ	11.83581564	12.85104672	11.91881133	14.80138024	10.93567522	9.87119975	10.48944272	5.508566661
A13E	12.89793163	13.90086917	12.91272593	14.71551117	12.03183589	9.599494413	10.42350782	4.563071004
A0G0	12.30772644	13.29032468	12.3006248	15.06619095	10.93392989	10.40287111	8.422631356	4.880634956
A0SX	12.03929314	13.01080713	12.08140704	14.62003263	11.47152721	9.729650193	9.633434878	5.180149438
A143	13.39097109	14.389816	13.42227775	15.30560608	10.14690093	8.960775262	10.43103767	3.699898307
A0A7	11.95240153	12.91096584	11.94589043	14.13824488	11.85949783	8.802796516	10.10994841	5.244961193
A094	11.96430928	12.93462563	11.989988	13.70926366	10.78968719	10.02548527	10.09377291	5.699179943
A12L	12.43377774	13.40578579	12.43943537	14.63838344	8.859071936	10.11492936	7.96801708	4.267577361
A0I9	12.25914566	13.23977083	12.29479178	14.63389884	10.02442232	9.170647755	9.791537525	4.319690606
A0EE	11.89945291	12.89442216	11.89274133	13.59172913	11.89069247	10.42432436	9.928989319	5.543501235
A0XN	11.72823514	12.70234699	11.77877419	13.61402171	10.30455933	9.640922511	9.938854055	4.776800201
A0B0	13.19807861	14.20735752	13.22836034	15.91626576	11.93111507	9.309470289	9.807684245	4.499796294
A18S	13.43580812	14.43415125	13.42723213	14.94266217	9.653780869	9.009493187	10.18348826	4.502237892
A0CS	13.24684544	14.26080219	13.26247265	15.44687184	11.03957897	9.271562699	10.23174541	3.803724287
A0EI	14.05562595	15.05642999	14.05865891	15.76770455	12.26736553	8.889268859	10.41648746	4.586009975
