	14-3-3_epsilon	4E-BP1	4E-BP1_pS65	4E-BP1_pT37	4E-BP1_pT70	53BP1	A-Raf_pS299	ACC1
A0FJ	0.049130778	0.447486231	-0.074321751	-0.381162898	0.026069432	0.917834192	0.022741468	-0.086267822
A13E	-0.079982106	0.605218418	0.28891184	1.16024542	-0.010967171	0.059101206	-0.459852981	-0.592691835
A0G0	-0.032849886	0.894609732	0.891277838	1.400188874	0.265880117	0.51704453	-0.191821916	0.411171898
A0SX	-0.205329492	-0.141322924	-0.018410963	-0.444224272	-0.051267718	-0.313728669	-0.074823472	-0.851480596
A143	0.060190211	0.131768992	0.665325385	0.351763305	0.06980286	0.330912383	-0.024357467	0.76975143
A0A7	-0.159645264	-0.224246906	-0.04366129	0.246839124	0.100314104	-1.162448537	0.155491109	-0.152287212
A094	-0.324733049	0.215932754	0.281625499	0.973144791	0.233648289	-0.059434659	0.490799434	1.205350551
A12L	-0.043444116	0.38455441	0.340147689	-0.176233784	0.298606378	-0.336488463	0.415023601	2.073036453
A0I9	-0.135194442	-0.3334904	0.320491036	0.346373865	0.060460287	-1.247331949	0.057775849	2.208047396
A0EE	0.208553569	0.050424125	0.554975886	-0.006143895	0.163492551	-0.157740833	0.513012799	-0.566151452
A0XN	0.264581832	0.945448159	0.192722328	0.999971757	0.427273199	-0.273752771	-0.308478236	-0.262575777
A0B0	0.16583752	-0.620077257	0.272070804	0.384282465	-0.117032856	0.085438172	0.116884571	-0.0356158
A18S	-0.159438959	0.781133225	0.584090019	0.663218152	0.37116841	0.647579034	0.130330762	0.289968833
A0CS	-0.022463404	0.097860488	-0.259934288	-0.551461671	-0.178080652	-0.001748506	0.334964464	0.749944295
A0EI	0.141549741	0.798830673	0.001633445	0.646776559	0.365310381	0.096208992	-0.093853361	-1.210853707
